Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,15,16,,,,,,,,,20,,
2016-03-24 12:00 AM,35,7,10,,,,,,,,20,,
2016-03-26 12:00 AM,53,6,9,6,,,,,,,20,,
2016-03-28 12:00 AM,47,9,8,5,2,,,,,,20,,
2016-03-30 12:00 AM,51,13,4,2,9,,,,,,20,,
2016-04-01 12:00 AM,43,13,7,3,10,2,,,,,20,,
2016-04-03 12:00 AM,46,20,13,1,2,,1,,,,20,,
2016-04-05 12:00 AM,53,16,16,7,2,8,,,1,,20,,
2016-04-07 12:00 AM,55,12,17,4,4,8,,,,,20,,
2016-04-09 12:00 AM,62,30,15,4,2,7,,1,,,20,,
2016-04-11 12:00 AM,60,20,24,5,3,2,,,,,20,,
2016-04-13 12:00 AM,52,24,21,2,5,2,,,,,20,,
2016-04-15 12:00 AM,64,21,23,2,5,2,,,,,20,,
2016-04-17 12:00 AM,60,12,19,3,3,2,,,,,20,,
2016-04-19 12:00 AM,55,2,16,1,,3,,,,,20,,
2016-04-21 12:00 AM,68,7,13,,,2,,,,,20,,
2016-04-23 12:00 AM,59,25,10,1,,2,,,,,20,,
2016-04-25 12:00 AM,50,5,20,3,,2,,,,,20,,
2016-04-27 12:00 AM,51,34,20,5,,1,,,,,20,,
2016-04-29 12:00 AM,47,24,15,5,,1,,,,,20,,
2016-05-01 12:00 AM,47,16,22,2,,1,,,,,,,
2016-05-03 12:00 AM,40,21,29,5,1,1,,,,,,,
2016-05-05 12:00 AM,23,31,22,6,1,2,,,,,,,
2016-05-07 12:00 AM,20,17,31,3,1,2,,,,,,,
2016-05-09 12:00 AM,19,10,24,4,5,2,,,,,,,
2016-05-11 12:00 AM,17,6,28,1,3,,,,,,,,
2016-05-13 12:00 AM,15,8,18,3,6,,,,,,,,
2016-05-15 12:00 AM,13,10,12,5,2,1,,,,,,,
2016-05-17 12:00 AM,4,2,15,3,1,2,,,,,,,
2016-05-19 12:00 AM,1,2,9,2,1,2,,,,,,,
2016-05-21 12:00 AM,,1,8,3,1,2,,,,,,,
2016-05-23 12:00 AM,,1,5,1,1,2,,,,,,,
2016-05-25 12:00 AM,,,5,1,1,,,,,,,,
2016-05-27 12:00 AM,,,3,1,,,,,,,,,
2016-05-29 12:00 AM,,,3,,,,,,,,,,
2016-05-31 12:00 AM,,,1,1,,,,,,,,,
2016-06-02 12:00 AM,,,1,1,,,,,,,,,
2016-06-04 12:00 AM,,,,,,,,,,,,,
