Date,1st instar,2nd instar,3rd instar,4th instar,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2016-10-20 12:00 AM,,,,,,,,,,,20,,
2016-10-22 12:00 AM,16,,,,,,,,,,20,,
2016-10-24 12:00 AM,30,6,,,,,,,,,20,,
2016-10-26 12:00 AM,46,9,,,,,,,,,20,,
2016-10-28 12:00 AM,54,13,6,,,,,,,,20,,
2016-10-30 12:00 AM,55,24,11,3,,,,,,,20,,
2016-11-01 12:00 AM,51,22,16,2,,,,,,,20,,
2016-11-03 12:00 AM,52,12,21,4,,,,,,,20,,
2016-11-05 12:00 AM,40,16,25,3,3,,,,,,20,,
2016-11-07 12:00 AM,29,22,21,6,6,,,,,,20,,
2016-11-09 12:00 AM,33,15,16,9,7,,,,,,20,,
2016-11-11 12:00 AM,32,10,18,7,10,2,,,,,20,,
2016-11-13 12:00 AM,29,10,22,4,11,5,,,,,20,,
2016-11-15 12:00 AM,21,19,15,5,7,10,,,,,20,,
2016-11-17 12:00 AM,10,13,22,7,5,13,,,,,20,,
2016-11-19 12:00 AM,13,9,22,9,5,3,,,,,20,,
2016-11-21 12:00 AM,10,8,22,9,8,10,3,2,,,20,,
2016-11-23 12:00 AM,13,6,22,10,6,9,4,4,,,20,2,"245, 220"
2016-11-25 12:00 AM,13,8,15,10,10,8,3,6,1,,20,4,"50, 37, 28, 41"
2016-11-27 12:00 AM,9,9,8,11,7,13,3,8,,,20,2,"76, 43"
2016-11-29 12:00 AM,16,12,12,5,8,13,,5,3,5,20,,
2016-12-01 12:00 AM,53,7,10,4,7,12,1,5,,,20,1,78
2016-12-03 12:00 AM,103,1,14,5,7,13,2,4,,2,,2,"42, 56"
2016-12-05 12:00 AM,89,19,12,3,5,14,7,2,,2,,6,"128, 97, 54, 35, 88, 75"
2016-12-07 12:00 AM,40,34,10,3,5,13,3,4,4,1,,5,"58, 94, 41, 227, 88"
2016-12-09 12:00 AM,7,30,15,8,2,10,4,3,,2,,2,"57, 43"
2016-12-11 12:00 AM,16,12,24,4,7,11,5,3,1,1,,1,35
2016-12-13 12:00 AM,38,4,24,3,8,10,7,2,1,1,,,
2016-12-15 12:00 AM,45,2,23,6,6,6,4,4,4,,,7,"237,45,81,59,27,48,73"
2016-12-17 12:00 AM,15,8,17,11,5,8,5,2,,1,,6,"157,94,83,51,38,14"
2016-12-19 12:00 AM,9,13,10,13,8,6,5,3,1,,,7,"58,134,179,87,67,55,91"
2016-12-21 12:00 AM,1,8,3,16,8,5,6,3,,1,,2,"44,71"
2016-12-23 12:00 AM,16,1,8,3,15,8,6,3,,,,3,"125,68,53"
2016-12-25 12:00 AM,53,,9,5,6,12,5,2,1,1,,1,49
2016-12-27 12:00 AM,109,32,4,4,2,14,6,1,1,1,,,
2016-12-29 12:00 AM,107,30,12,1,4,13,5,1,2,,,2,"145,128"
2016-12-31 12:00 AM,27,31,15,2,4,11,7,2,,,,3,"17,40,57"
2017-01-02 12:00 AM,13,46,23,1,5,8,5,2,2,2,,2,"63,33"
2017-01-04 12:00 AM,14,30,25,3,3,4,8,3,,1,,5,"24,33,18,27,10"
2017-01-06 12:00 AM,21,7,36,9,3,4,8,4,,,,6,"97,155,88,76,83,122"
2017-01-08 12:00 AM,39,7,29,6,7,5,6,3,3,1,,6,"49,23,77,61,48,50"
2017-01-10 12:00 AM,20,9,25,12,7,4,3,2,3,1,,3,"31,27,54"
2017-01-12 12:00 AM,5,12,17,17,3,8,2,1,1,1,,,
2017-01-14 12:00 AM,,5,17,10,7,9,1,3,1,,,,
2017-01-16 12:00 AM,25,3,11,10,13,8,,,,,,,
2017-01-18 12:00 AM,39,11,10,10,7,16,,1,,1,,,
2017-01-20 12:00 AM,11,20,8,10,8,10,,3,,1,,,
2017-01-22 12:00 AM,5,7,12,6,8,15,1,2,,1,,1,167
2017-01-24 12:00 AM,2,5,14,6,6,14,1,1,,1,,2,"45,62"
2017-01-26 12:00 AM,1,3,12,3,5,11,4,2,,,,2,"26,33"
2017-01-28 12:00 AM,,2,10,1,3,10,3,1,1,1,,2,"29,57"
2017-01-30 12:00 AM,,2,5,5,2,9,5,1,,,,4,"37,41,28,34"
2017-02-01 12:00 AM,24,2,5,4,3,9,4,1,2,1,,,
2017-02-03 12:00 AM,26,12,5,3,5,7,4,1,1,,,4,"85,33,21,94"
2017-02-05 12:00 AM,36,16,2,3,2,5,4,2,1,,,3,"85,127,139"
2017-02-07 12:00 AM,35,10,14,2,2,4,2,2,2,1,,2,"27,34"
2017-02-09 12:00 AM,16,9,17,3,2,4,2,1,,1,,,
2017-02-11 12:00 AM,18,8,22,3,3,3,,1,2,,,,
2017-02-13 12:00 AM,158,8,19,5,2,3,,2,,,,,
2017-02-15 12:00 AM,93,13,9,6,7,2,,2,,1,,,
2017-02-17 12:00 AM,14,37,12,3,7,3,,1,,1,,,
2017-02-19 12:00 AM,3,36,15,3,7,5,,,,1,,,
2017-02-21 12:00 AM,1,12,26,6,6,3,1,,,,,,
2017-02-23 12:00 AM,1,1,31,5,4,7,1,,,,,,
2017-02-25 12:00 AM,,,22,8,7,6,1,,,,,,
2017-02-27 12:00 AM,,,12,7,9,6,2,,,,,,
2017-03-01 12:00 AM,,,4,9,11,9,2,,,,,,
2017-03-03 12:00 AM,,,3,4,13,10,2,,2,,,,
2017-03-05 12:00 AM,,,,7,5,15,2,,,,,,
2017-03-07 12:00 AM,,,,3,6,13,5,1,,,,,
2017-03-09 12:00 AM,,,,1,4,14,6,1,,,,,
2017-03-11 12:00 AM,,,,,4,13,4,3,2,,,1,237
2017-03-13 12:00 AM,,,,,,11,5,6,1,,,3,"29,84,21"
2017-03-15 12:00 AM,,,,,,7,3,8,2,1,,2,"55,49"
2017-03-17 12:00 AM,,,,,,6,3,7,,2,,,
2017-03-19 12:00 AM,91,,,,,3,3,7,2,1,,3,"28,39,33"
2017-03-21 12:00 AM,103,9,,,,,3,1,1,6,,1,29
2017-03-23 12:00 AM,100,31,16,,,,1,,2,1,,,
2017-03-25 12:00 AM,51,27,21,,,,,,,1,,,
2017-03-27 12:00 AM,24,20,32,,,,,,,,,,
2017-03-29 12:00 AM,12,18,36,2,,,,,,,,,
2017-03-31 12:00 AM,3,8,32,11,,,,,,,,,
2017-04-02 12:00 AM,1,5,18,9,10,,,,,,,,
2017-04-04 12:00 AM,,,13,10,14,,,,,,,,
2017-04-06 12:00 AM,,,6,14,9,3,,,,,,,
2017-04-08 12:00 AM,,,2,7,12,7,,,,,,,
2017-04-10 12:00 AM,,,,5,3,12,,,,,,,
2017-04-12 12:00 AM,,,,1,6,12,,,,,,,
2017-04-14 12:00 AM,,,,,4,13,1,1,,,,,
2017-04-16 12:00 AM,,,,,1,11,4,1,1,,,,
2017-04-18 12:00 AM,,,,,,7,6,2,,,,4,"30,25,16,13"
2017-04-20 12:00 AM,,,,,,6,5,2,1,1,,6,"29,148,121,35,22,18"
2017-04-22 12:00 AM,,,,,,1,3,2,3,1,,3,"16,13,44"
2017-04-24 12:00 AM,,,,,,1,1,1,3,1,,2,"45,77"
2017-04-26 12:00 AM,,,,,,,,1,1,,,1,36
2017-04-28 12:00 AM,10,,,,,,,1,,,,,
2017-04-30 12:00 AM,52,,,,,,,,,1,,,
2017-05-02 12:00 AM,124,15,,,,,3,2,1,2,,3,"65,33,88"
2017-05-04 12:00 AM,58,22,4,,,,2,1,1,1,,,
2017-05-06 12:00 AM,14,28,21,,,,,,2,1,,1,37
2017-05-08 12:00 AM,,20,28,,,,,,,,,,
2017-05-10 12:00 AM,52,11,35,3,,1,,,,,,,
2017-05-12 12:00 AM,58,2,36,8,,1,,,,,,,
2017-05-14 12:00 AM,27,11,21,15,5,1,,,,,,,
2017-05-16 12:00 AM,5,18,10,14,8,,,,,,,,
2017-05-18 12:00 AM,2,10,10,10,12,3,,,,,,,
2017-05-20 12:00 AM,3,4,11,9,11,6,,,,,,,
2017-05-22 12:00 AM,,,9,8,4,16,,,,,,,
2017-05-24 12:00 AM,,,4,8,4,17,,,,,,,
2017-05-26 12:00 AM,,,3,4,6,15,1,2,,,,,
2017-05-28 12:00 AM,,,2,4,6,10,5,4,,,,1,63
2017-05-30 12:00 AM,,,2,3,2,10,6,5,,2,,3,"95,136,51"
2017-06-01 12:00 AM,,,,2,2,9,5,3,3,2,,3,"22,85,139"
2017-06-03 12:00 AM,,,,,4,9,1,,3,4,,2,"13,52"
2017-06-05 12:00 AM,,,,,,2,7,4,,,,,
2017-06-07 12:00 AM,97,,,,2,,4,1,1,,,,
2017-06-09 12:00 AM,146,25,,,,3,5,2,,,,,
2017-06-11 12:00 AM,47,68,12,,,3,1,,4,2,,3,"128,143,17"
2017-06-13 12:00 AM,4,48,32,,,1,1,1,1,,,1,44
2017-06-15 12:00 AM,,15,44,,,,2,,,1,,,
