Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,37,,,,,,,,,,20,,
2016-03-24 12:00 AM,25,15,,,,,,,,,20,,
2016-03-26 12:00 AM,55,22,,,,,,,,,20,,
2016-03-28 12:00 AM,67,18,10,,,,,,,,20,,
2016-03-30 12:00 AM,89,13,16,,,,,,,,20,,
2016-04-01 12:00 AM,76,15,22,,,,,,,,20,,
2016-04-03 12:00 AM,71,18,13,10,,,,,,,20,,
2016-04-05 12:00 AM,68,15,17,10,,,,,,,20,,
2016-04-07 12:00 AM,74,16,15,13,4,,,,,,20,,
2016-04-09 12:00 AM,79,18,11,15,3,,,,,,20,,
2016-04-11 12:00 AM,72,13,13,10,7,,,,,,20,,
2016-04-13 12:00 AM,64,17,14,7,10,3,,,,,20,,
2016-04-15 12:00 AM,73,30,9,6,7,6,,,,,20,,
2016-04-17 12:00 AM,87,24,22,4,5,10,,,,,20,,
2016-04-19 12:00 AM,90,27,19,6,6,11,,,,,20,,
2016-04-21 12:00 AM,77,15,33,6,5,13,,,,,20,,
2016-04-23 12:00 AM,78,23,22,11,6,12,,1,,,20,,
2016-04-25 12:00 AM,80,12,34,8,10,10,2,3,,,20,,
2016-04-27 12:00 AM,75,25,27,6,8,9,3,4,,,20,,
2016-04-29 12:00 AM,70,17,21,8,10,7,3,4,,,20,1,80
2016-05-01 12:00 AM,77,20,19,8,10,6,4,5,,,,,
2016-05-03 12:00 AM,75,27,25,6,6,10,3,4,1,2,,1,21
2016-05-05 12:00 AM,63,27,22,10,6,10,1,2,4,2,,,
2016-05-07 12:00 AM,54,30,22,8,7,9,1,2,,,,2,"73, 85"
2016-05-09 12:00 AM,41,9,31,8,5,12,1,2,,2,,2,"43, 36"
2016-05-11 12:00 AM,18,14,24,7,7,13,1,2,,1,,,
2016-05-13 12:00 AM,10,21,21,7,6,13,1,4,1,,,,
2016-05-15 12:00 AM,8,14,25,3,6,13,1,5,,1,,,
2016-05-17 12:00 AM,5,9,26,4,5,14,,4,1,2,,,
2016-05-19 12:00 AM,13,2,24,10,3,10,3,2,,3,,,
2016-05-21 12:00 AM,20,2,22,8,6,10,2,3,1,,,2,"36, 114"
2016-05-23 12:00 AM,6,6,15,7,5,12,3,4,,,,4,"66, 97, 74, 156"
2016-05-25 12:00 AM,,4,10,6,10,9,3,3,,1,,1,109
2016-05-27 12:00 AM,,1,8,6,8,10,3,5,,,,1,58
2016-05-29 12:00 AM,,1,6,6,9,10,2,5,1,,,,
2016-05-31 12:00 AM,32,,5,2,8,10,1,6,2,,,,
2016-06-02 12:00 AM,113,,4,3,6,8,2,3,,2,,,
2016-06-04 12:00 AM,73,4,1,2,6,11,2,2,,1,,,
2016-06-06 12:00 AM,56,7,2,3,6,10,2,1,,1,,,
2016-06-08 12:00 AM,16,26,,3,3,6,3,,,1,,2,"55, 52"
2016-06-10 12:00 AM,2,6,13,2,1,7,2,1,1,,,,
2016-06-12 12:00 AM,5,4,16,,2,6,1,1,1,,,1,63
2016-06-14 12:00 AM,,,14,,1,5,2,1,,,,,
2016-06-16 12:00 AM,,,13,1,1,3,2,2,,,,2,"77, 135"
2016-06-18 12:00 AM,,,11,2,1,3,1,2,1,,,1,42
2016-06-20 12:00 AM,,,3,6,3,2,1,3,,,,,
2016-06-22 12:00 AM,,,3,4,5,1,2,2,,1,,,
2016-06-24 12:00 AM,,,1,5,5,1,1,1,1,1,,1,56
2016-06-26 12:00 AM,19,,1,3,4,4,1,, ,1,,,
2016-06-28 12:00 AM,16,,2,1,3,6,,,1,,,,
2016-06-30 12:00 AM,8,7,1,,3,6,1,,,,,,
2016-07-02 12:00 AM,1,12,,,2,5,1,,,,,,
2016-07-04 12:00 AM,,1,12,,,6,,,,,,,
