Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,57,13,,,,,,,,,20,,
2016-03-24 12:00 AM,38,10,7,,,,,,,,20,,
2016-03-26 12:00 AM,46,17,7,7,,,,,,,20,,
2016-03-28 12:00 AM,65,14,11,3,2,,,,,,20,,
2016-03-30 12:00 AM,62,21,10,4,6,1,,,,,20,,
2016-04-01 12:00 AM,45,30,10,7,10,2,,,,,20,,
2016-04-03 12:00 AM,65,20,10,6,8,8,,1,,,20,,
2016-04-05 12:00 AM,61,24,14,7,7,10,1,1,,,20,,
2016-04-07 12:00 AM,77,10,24,5,6,16,2,1,,,20,,
2016-04-09 12:00 AM,69,21,19,9,7,11,5,3,1,,20,,
2016-04-11 12:00 AM,68,16,17,16,5,13,2,4,2,3,20,,
2016-04-13 12:00 AM,60,34,18,8,6,9,4,4,2,3,20,,
2016-04-15 12:00 AM,57,15,26,7,7,12,2,5,1,,20,,
2016-04-17 12:00 AM,60,14,26,3,9,10,1,2,3,4,20,,
2016-04-19 12:00 AM,79,8,41,4,9,9,1,3,1,1,20,,
2016-04-21 12:00 AM,69,5,28,11,11,9,1,1,1,3,20,,
2016-04-23 12:00 AM,71,21,14,13,12,9,1,2,1,,20,,
2016-04-25 12:00 AM,77,13,25,6,11,10,1,2,1,1,20,,
2016-04-27 12:00 AM,80,6,43,8,13,12,1,1,1,1,20,,
2016-04-29 12:00 AM,69,10,38,10,7,17,1,2,1,,20,,
2016-05-01 12:00 AM,74,12,28,6,11,13,3,6,,,,,
2016-05-03 12:00 AM,71,36,32,6,9,14,1,3,3,,,,
2016-05-05 12:00 AM,66,11,47,10,5,12,2,3,,3,,,
2016-05-07 12:00 AM,57,19,34,12,7,12,1,1,2,2,,,
2016-05-09 12:00 AM,44,9,39,10,5,16,,3,1,,,,
2016-05-11 12:00 AM,38,4,29,8,10,16,,3,1,,,,
2016-05-13 12:00 AM,27,3,11,10,12,16,1,3,,4,,,
2016-05-15 12:00 AM,18,11,12,5,11,16,3,4,1,3,,,
2016-05-17 12:00 AM,6,7,9,1,8,20,,3,2,5,,,
2016-05-19 12:00 AM,2,11,7,1,3,18,2,6,,,,,
2016-05-21 12:00 AM,1,,11,4,,14,3,6,2,3,,,
2016-05-23 12:00 AM,,,6,4,1,4,2,4,3,5,,,
2016-05-25 12:00 AM,,,4,4,1,5,2,,1,4,,2,"75, 37"
2016-05-27 12:00 AM,,,1,6,1,8,,,2,,,,
2016-05-29 12:00 AM,,,1,4,2,7,,1,,,,,
2016-05-31 12:00 AM,,,1,1,,8,,2,,2,,,
2016-06-02 12:00 AM,,,,,1,6,1,2,,1,,,
2016-06-04 12:00 AM,,,,,1,3,1,4,,,,,
2016-06-06 12:00 AM,,,,,,1,1,1,1,4,,,
2016-06-08 12:00 AM,,,,,,1,1,1,,,,,
2016-06-10 12:00 AM,,,,,,,,1,1,,,,
2016-06-12 12:00 AM,,,,,,,,1,,,,,
2016-06-14 12:00 AM,,,,,,,,,,,,,
