Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-05-19 12:00 AM,20,,,,,,,,,,20,,
2016-05-21 12:00 AM,20,,,,,,,,,,20,,
2016-05-23 12:00 AM,24,10,,,,,,,,,20,,
2016-05-25 12:00 AM,13,24,,,,,,,,,20,,
2016-05-27 12:00 AM,9,13,23,,,,,,,,20,,
2016-05-29 12:00 AM,8,10,23,,,,,,,,20,,
2016-05-31 12:00 AM,11,9,18,3,6,,,,,,20,,
2016-06-02 12:00 AM,7,7,15,7,7,,,,,,20,,
2016-06-04 12:00 AM,14,5,9,10,12,,,,,,20,,
2016-06-06 12:00 AM,14,7,11,4,9,6,,,,,20,,
2016-06-08 12:00 AM,22,6,7,4,7,10,,,,,20,,
2016-06-10 12:00 AM,22,10,5,5,7,13,,,,,20,,
2016-06-12 12:00 AM,5,21,7,3,3,18,2,,,,20,,
2016-06-14 12:00 AM,7,16,11,2,4,16,4,1,,,20,,
2016-06-16 12:00 AM,17,5,18,2,2,11,7,2,,,20,3,"122, 86, 58"
2016-06-18 12:00 AM,10,11,19,6,1,8,6,4,3,,20,2,"115, 53"
2016-06-20 12:00 AM,12,16,11,4,3,7,4,4,4,,20,1,45
2016-06-22 12:00 AM,25,6,9,7,4,6,4,3,1,2,20,5,"56, 34, 65, 58, 101"
2016-06-24 12:00 AM,18,12,11,6,7,4,2,3,3,1,20,3,"124, 173, 45"
2016-06-26 12:00 AM,14,19,21,3,4,6,3,2,,2,20,4,"171, 136, 128, 144"
2016-06-28 12:00 AM,20,15,23,5,3,8,2,2,1,,20,,
2016-06-30 12:00 AM,96,9,27,5,2,8,1,1,2,1,20,,
2016-07-02 12:00 AM,88,16,29,4,6,8,,,,,20,,
2016-07-04 12:00 AM,93,29,20,5,4,8,1,2,1,,,,
2016-07-06 12:00 AM,85,38,22,7,3,7,1,4,,,,,
2016-07-08 12:00 AM,40,36,15,12,4,11,,3,1,1,,,
2016-07-10 12:00 AM,27,18,31,5,8,13,,2,,1,,,
2016-07-12 12:00 AM,18,23,28,7,7,10,1,3,,1,,1,86
2016-07-14 12:00 AM,51,5,33,10,2,16,3,1,,2,,2,"63, 111"
2016-07-16 12:00 AM,42,14,28,7,7,11,3,1,1,1,,1,77
2016-07-18 12:00 AM,21,24,20,7,9,9,2,,2,1,,,
2016-07-20 12:00 AM,15,15,10,14,6,10,2,,1,,,,
2016-07-22 12:00 AM,63,16,8,9,10,8,4,2,1,,,1,134
2016-07-24 12:00 AM,70,7,11,4,9,12,4,2,1,,,,
2016-07-26 12:00 AM,30,24,11,5,4,13,2,1,2,2,,,
2016-07-28 12:00 AM,1,23,7,7,3,12,2,1,2,,,,
2016-07-30 12:00 AM,,24,11,4,3,11,2,2,,,,,
2016-08-01 12:00 AM,,10,16,5,3,9,1,2,1,2,,1,52
2016-08-03 12:00 AM,,,19,7,,6,3,4,1,,,1,63
2016-08-05 12:00 AM,,,11,8,2,4,4,2,1,2,,2,"46, 54"
2016-08-07 12:00 AM,,,,8,7,9,,1,4,1,,1,158
2016-08-09 12:00 AM,,,,6,6,8,1,1,,1,,,
2016-08-11 12:00 AM,10,1,,,1,15,,,1,1,,,
2016-08-13 12:00 AM,22,2,,,,7,2,,,1,,,
2016-08-15 12:00 AM,4,15,,,,4,1,2,1,,,,
2016-08-17 12:00 AM,,4,15,,,,2,1,1,1,,,
2016-08-19 12:00 AM,1,1,15,,,,3,,1,1,,1,41
2016-08-21 12:00 AM,,2,10,1,,,2,,2,,,,
2016-08-23 12:00 AM,,,4,2,4,,2,,,,,,
2016-08-25 12:00 AM,,,1,5,4,,,,2,,,,
2016-08-27 12:00 AM,,,,4,5,,,,,,,,
2016-08-29 12:00 AM,,,,2,3,3,,,,,,,
2016-08-31 12:00 AM,,,,1,1,3,2,4,1,3,,4,"88, 63, 106, 75"
2016-09-02 12:00 AM,,,,,1,4,,2,2,2,,,
2016-09-04 12:00 AM,,,,,,3,,2,,1,,,
2016-09-06 12:00 AM,,,,,,3,,1,,1,,,
2016-09-08 12:00 AM,78,,,,,1,2,,,1,,,
2016-09-10 12:00 AM,94,,,,,,2,1,,,,,
2016-09-12 12:00 AM,16,60,,,,,,,2,1,,,
2016-09-14 12:00 AM,3,52,,,,,,,,,,,
2016-09-16 12:00 AM,3,4,43,,,,,,,,,,
2016-09-18 12:00 AM,,6,36,,,,,,,,,,
2016-09-20 12:00 AM,,2,25,15,,,,,,,,,
2016-09-22 12:00 AM,,,6,22,10,,,,,,,,
2016-09-24 12:00 AM,,,3,22,12,,,,,,,,
2016-09-26 12:00 AM,,,2,8,19,6,,,,,,,
2016-09-28 12:00 AM,,,1,4,12,16,,,,,,,
2016-09-30 12:00 AM,,,1,2,3,22,,,,,,,
2016-10-02 12:00 AM,,,,2,2,24,,,,,,,
2016-10-04 12:00 AM,,,,,3,21,1,3,,,,,
2016-10-06 12:00 AM,,,,,1,9,5,8,,,,2,"78, 126"
2016-10-08 12:00 AM,,,,,1,6,7,8,,1,,1,136
2016-10-10 12:00 AM,,,,,,2,3,5,5,4,,6,"152, 63, 130, 84, 87, 127"
2016-10-12 12:00 AM,,,,,,,4,2,,2,,4,"82, 145, 72, 126"
2016-10-14 12:00 AM,,,,,,,3,1,1,1,,2,"64, 71"
2016-10-16 12:00 AM,130,,,,,,,,3,1,,,
2016-10-18 12:00 AM,179,16,,,,,,,,,,,
2016-10-20 12:00 AM,125,53,6,,,,,,,,,,
2016-10-22 12:00 AM,71,77,7,,,,,,,,,,
2016-10-24 12:00 AM,24,34,61,,,,,,,,,,
2016-10-26 12:00 AM,,29,50,7,,,,,,,,,
2016-10-28 12:00 AM,,21,39,8,,,,,,,,,
2016-10-30 12:00 AM,,2,36,15,4,,,,,,,,
2016-11-01 12:00 AM,,,21,18,16,,,,,,,,
2016-11-03 12:00 AM,,,9,19,19,4,,,,,,,
2016-11-05 12:00 AM,,,9,20,13,8,,,,,,,
2016-11-07 12:00 AM,,,,20,11,14,,,,,,,
2016-11-09 12:00 AM,,,,8,18,18,,1,,,,,
2016-11-11 12:00 AM,,,,4,12,22,1,3,,,,,
2016-11-13 12:00 AM,,,,,10,20,1,5,1,,,,
2016-11-15 12:00 AM,,,,,7,16,3,7,,,,3,"55, 171, 47"
2016-11-17 12:00 AM,,,,,4,16,4,9,1,1,,3,"55, 94, 137"
2016-11-19 12:00 AM,,,,,2,7,4,12,3,2,,5,"46, 32, 78, 61, 118"
2016-11-21 12:00 AM,,,,,2,7,4,7,,4,,5,"38, 56, 34, 97, 205"
2016-11-23 12:00 AM,3,,,,1,2,4,5,3,3,,4,"68, 39, 77, 81"
2016-11-25 12:00 AM,139,,,,1,,4,3,1,3,,5,"44, 59, 51, 202, 236"
2016-11-27 12:00 AM,113,6,,,,,3,1,1,2,,1,126
2016-11-29 12:00 AM,71,40,,,,,2,1,1,,,2,"38, 55"
2016-12-01 12:00 AM,35,27,38,,,,1,,1,1,,,
2016-12-03 12:00 AM,26,18,43,,,,,,1,,,,
