Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-10-20 12:00 AM,,,,,,,,,,,20,,
2016-10-22 12:00 AM,18,,,,,,,,,,20,,
2016-10-24 12:00 AM,40,,,,,,,,,,20,,
2016-10-26 12:00 AM,47,,,,,,,,,,20,,
2016-10-28 12:00 AM,53,,,,,,,,,,20,,
2016-10-30 12:00 AM,71,,,,,,,,,,20,,
2016-11-01 12:00 AM,54,4,,,,,,,,,20,,
2016-11-03 12:00 AM,51,6,,,,,,,,,20,,
2016-11-05 12:00 AM,47,7,,,,,,,,,20,,
2016-11-07 12:00 AM,54,7,,,,,,,,,20,,
2016-11-09 12:00 AM,52,4,3,,,,,,,,20,,
2016-11-11 12:00 AM,41,8,3,,,,,,,,20,,
2016-11-13 12:00 AM,45,9,6,,,,,,,,20,,
2016-11-15 12:00 AM,48,10,7,,,,,,,,20,,
2016-11-17 12:00 AM,48,7,7,,,,,,,,20,,
2016-11-19 12:00 AM,55,8,11,,,,,,,,20,,
2016-11-21 12:00 AM,58,15,12,,,,,,,,20,,
2016-11-23 12:00 AM,43,7,19,,,,,,,,20,,
2016-11-25 12:00 AM,45,9,18,,,,,,,,20,,
2016-11-27 12:00 AM,35,18,13,,,,,,,,20,,
2016-11-29 12:00 AM,35,10,12,2,,,,,,,20,,
2016-12-01 12:00 AM,32,4,16,2,,,,,,,20,,
2016-12-03 12:00 AM,23,6,14,1,2,,,,,,,,
2016-12-05 12:00 AM,24,3,12,2,2,,,,,,,,
2016-12-07 12:00 AM,16,4,11,2,2,,,,,,,,
2016-12-09 12:00 AM,8,3,10,2,2,,,,,,,,
2016-12-11 12:00 AM,7,1,11,3,2,,,,,,,,
2016-12-13 12:00 AM,,3,8,4,3,,,,,,,,
2016-12-15 12:00 AM,,4,6,3,3,,,,,,,,
2016-12-17 12:00 AM,,4,4,4,2,,,,,,,,
2016-12-19 12:00 AM,,4,5,5,1,,,,,,,,
2016-12-21 12:00 AM,,,6,3,4,,,,,,,,
2016-12-23 12:00 AM,,,4,3,5,,,,,,,,
2016-12-25 12:00 AM,,,4,4,5,,,,,,,,
2016-12-27 12:00 AM,,,4,4,3,,,,,,,,
2016-12-29 12:00 AM,,,1,2,2,3,,,,,,,
2016-12-31 12:00 AM,,,1,2,2,3,,,,,,,
2017-01-02 12:00 AM,,,,4,1,4,,,,,,,
2017-01-04 12:00 AM,,,,3,1,4,,,,,,,
2017-01-06 12:00 AM,,,,2,2,4,,,,,,,
2017-01-08 12:00 AM,,,,2,2,4,,,,,,,
2017-01-10 12:00 AM,,,1,1,2,4,,,,,,,
2017-01-12 12:00 AM,,,1,1,1,5,,,,,,,
2017-01-14 12:00 AM,,,,1,1,4,,,,,,,
2017-01-16 12:00 AM,,,,1,1,4,,,,,,,
2017-01-18 12:00 AM,,,,1,1,3,1,,,,,,
2017-01-20 12:00 AM,,,,1,1,3,1,,,,,,
2017-01-22 12:00 AM,,,,,2,3,1,,,,,,
2017-01-24 12:00 AM,,,,,2,3,1,,,,,,
2017-01-26 12:00 AM,,,,,1,2,1,1,,,,,
2017-01-28 12:00 AM,,,,,1,2,1,1,,,,,
2017-01-30 12:00 AM,,,,,1,1,1,1,,,,,
2017-02-01 12:00 AM,,,,,1,1,1,1,,,,,
2017-02-03 12:00 AM,,,,,1,1,1,1,,,,,
2017-02-05 12:00 AM,,,,,1,1,1,1,,,,,
2017-02-07 12:00 AM,,,,,,,2,1,,,,,
2017-02-09 12:00 AM,,,,,,,1,,1,1,,,
2017-02-11 12:00 AM,,,,,,,1,,,,,,
2017-02-13 12:00 AM,,,,,,,1,,,,,,
2017-02-15 12:00 AM,,,,,,,1,,,,,,
2017-02-17 12:00 AM,,,,,,,,,,,,,
