Date,1st instar,2nd instar,3rd instar,4th instar,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2016-10-20 12:00 AM,,,,,,,,,,,20,,
2016-10-22 12:00 AM,16,,,,,,,,,,20,,
2016-10-24 12:00 AM,29,14,,,,,,,,,20,,
2016-10-26 12:00 AM,37,10,8,,,,,,,,20,,
2016-10-28 12:00 AM,40,15,15,,,,,,,,20,,
2016-10-30 12:00 AM,49,11,26,1,,,,,,,20,,
2016-11-01 12:00 AM,43,5,19,9,2,,,,,,20,,
2016-11-03 12:00 AM,43,8,15,8,6,,,,,,20,,
2016-11-05 12:00 AM,39,24,12,10,4,,,,,,20,,
2016-11-07 12:00 AM,39,12,12,5,8,8,,,,,20,,
2016-11-09 12:00 AM,40,4,18,4,9,11,,,,,20,,
2016-11-11 12:00 AM,25,14,13,3,4,15,1,1,,,20,,
2016-11-13 12:00 AM,30,19,10,7,4,13,2,4,,,20,2,"46, 73"
2016-11-15 12:00 AM,25,16,16,5,6,11,4,3,,1,20,2,"43, 256"
2016-11-17 12:00 AM,19,15,19,2,7,10,4,5,1,1,20,5,"72, 51, 88, 99, 36"
2016-11-19 12:00 AM,7,17,19,7,4,5,7,3,1,2,20,6,"85, 43, 127, 51, 64, 197"
2016-11-21 12:00 AM,32,13,14,9,5,8,4,3,3,,20,1,257
2016-11-23 12:00 AM,27,8,22,5,4,9,4,,,3,20,,
2016-11-25 12:00 AM,24,9,20,9,5,7,3,,2,,20,,
2016-11-27 12:00 AM,10,14,15,10,5,7,6,,,1,20,3,"80, 111, 42"
2016-11-29 12:00 AM,12,8,15,4,9,10,4,1,3,,20,,
2016-12-01 12:00 AM,9,9,12,5,6,17,2,2,2,,20,2,"156, 33"
2016-12-03 12:00 AM,10,8,9,3,6,18,2,3,,,,,
2016-12-05 12:00 AM,2,11,6,3,5,17,1,3,1,2,,,
2016-12-07 12:00 AM,5,2,13,1,3,14,3,2,,2,,1,55
2016-12-09 12:00 AM,6,,11,4,2,8,8,4,,,,,
2016-12-11 12:00 AM,,1,8,2,3,8,5,4,3,1,,4,"268, 49, 63, 77"
2016-12-13 12:00 AM,,,2,4,5,6,6,3,1,1,,1,263
2016-12-15 12:00 AM,47,,3,1,2,6,2,2,4,3,,2,"23,97"
2016-12-17 12:00 AM,31,4,3,,2,5,1,4,1,,,1,62
2016-12-19 12:00 AM,9,15,2,2,,7,1,3,,1,,,
2016-12-21 12:00 AM,,13,7,,,5,2,2,1,1,,,
2016-12-23 12:00 AM,13,4,15,,,2,3,2,1,1,,1,62
2016-12-25 12:00 AM,5,4,13,1,,1,3,1,,,,1,88
2016-12-27 12:00 AM,,,2,8,5,,3,1,1,1,,2,"61,58"
2016-12-29 12:00 AM,7,,,3,11,1,3,,,,,,
2016-12-31 12:00 AM,,,,3,4,8,1,,2,,,,
2017-01-02 12:00 AM,3,4,,,1,13,,,1,,,,
2017-01-04 12:00 AM,,4,,,,13,,,,,,,
2017-01-06 12:00 AM,,,4,,,10,,3,,,,,
2017-01-08 12:00 AM,,,3,,,1,2,9,,,,,
2017-01-10 12:00 AM,,,,2,1,,2,10,,,,1,64
2017-01-12 12:00 AM,,,,,3,,2,3,7,,,,
2017-01-14 12:00 AM,,,,,,3,1,1,1,2,,,
2017-01-16 12:00 AM,,,,,,3,1,1,,,,,
2017-01-18 12:00 AM,,,,,,2,1,1,,,,,
2017-01-20 12:00 AM,,,,,,2,1,,,1,,,
2017-01-22 12:00 AM,,,,,,,1,,,,,,
2017-01-24 12:00 AM,,,,,,,1,,,,,,
2017-01-26 12:00 AM,,,,,,,1,,,,,,
2017-01-28 12:00 AM,,,,,,,,,,,,,
