Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,15,13,,,,,,,,,20,,
2016-03-24 12:00 AM,20,8,14,,,,,,,,20,,
2016-03-26 12:00 AM,35,18,16,,,,,,,,20,,
2016-03-28 12:00 AM,55,18,15,6,,,,,,,20,,
2016-03-30 12:00 AM,63,18,15,13,,,,,,,20,,
2016-04-01 12:00 AM,68,16,17,10,9,,,,,,20,,
2016-04-03 12:00 AM,51,16,18,13,6,3,,,,,20,,
2016-04-05 12:00 AM,65,26,27,4,10,8,,,,,20,,
2016-04-07 12:00 AM,63,24,21,9,4,12,,,,,20,,
2016-04-09 12:00 AM,71,22,24,7,3,14,,,,,20,,
2016-04-11 12:00 AM,75,20,25,9,6,16,,1,,,20,,
2016-04-13 12:00 AM,57,31,22,10,8,11,4,1,,,20,1,83
2016-04-15 12:00 AM,53,24,29,8,10,9,3,6,,,20,,
2016-04-17 12:00 AM,71,17,28,4,13,11,4,6,,,20,2,"124, 98"
2016-04-19 12:00 AM,81,15,27,6,9,10,4,6,1,1,20,3,"95, 113, 72"
2016-04-21 12:00 AM,79,13,24,5,12,11,3,5,2,2,20,,
2016-04-23 12:00 AM,87,33,21,4,13,11,5,4,1,1,20,3,"132, 114, 75"
2016-04-25 12:00 AM,101,29,33,5,11,13,4,4,1,2,20,3,"41, 75, 32"
2016-04-27 12:00 AM,98,23,45,6,13,14,3,4,1,1,20,4,"82, 66, 51, 99"
2016-04-29 12:00 AM,82,35,37,8,9,17,3,5,1,,20,3,"130, 104, 88"
2016-05-01 12:00 AM,90,35,38,4,9,15,4,5,,,,1,106
2016-05-03 12:00 AM,83,24,51,4,6,17,5,5,2,1,,9,"76, 44, 51, 138, 71, 55, 48, 129, 113"
2016-05-05 12:00 AM,70,20,40,15,7,14,9,5,,,,2,"67, 80"
2016-05-07 12:00 AM,60,29,39,17,6,15,6,3,4,2,,4,"152, 141, 148, 210"
2016-05-09 12:00 AM,131,25,43,10,7,13,8,2,2,1,,3,"225, 56, 79"
2016-05-11 12:00 AM,147,20,39,11,6,11,6,2,4,2,,3,"118, 63, 45"
2016-05-13 12:00 AM,84,27,34,11,12,10,4,1,2,3,,5,"142, 110, 151, 53, 47"
2016-05-15 12:00 AM,61,31,43,13,10,11,4,,,1,,,
2016-05-17 12:00 AM,66,32,29,16,9,14,3,1,1,,,,
2016-05-19 12:00 AM,33,29,37,12,8,18,4,1,1,,,3,"42, 30, 25"
2016-05-21 12:00 AM,40,34,36,11,7,18,3,,2,,,,
2016-05-23 12:00 AM,93,24,36,7,4,18,4,2,2,,,,
2016-05-25 12:00 AM,15,52,34,2,10,13,6,3,,,,3,"57, 64, 188"
2016-05-27 12:00 AM,2,31,39,9,8,12,6,4,2,2,,5,"61, 245, 97, 53, 211"
2016-05-29 12:00 AM,,9,44,12,9,11,2,6,4,,,1,84
2016-05-31 12:00 AM,,3,41,6,12,9,3,8,1,2,,3,"97, 45, 118"
2016-06-02 12:00 AM,50,,39,6,6,,2,4,1,4,,3,"84, 66, 58"
2016-06-04 12:00 AM,135,,11,25,9,14,1,5,2,1,,,
2016-06-06 12:00 AM,87,10,6,19,13,14,2,3,,2,,3,"97, 86, 89"
2016-06-08 12:00 AM,20,35,5,10,17,12,4,2,,1,,4,"57, 115, 120, 147"
2016-06-10 12:00 AM,81,27,15,11,10,15,4,4,1,1,,3,"135, 74, 94"
2016-06-12 12:00 AM,76,24,27,3,1,20,4,5,3,1,,,
2016-06-14 12:00 AM,82,25,24,4,2,19,4,5,,1,,1,56
2016-06-16 12:00 AM,155,40,18,4,2,17,1,5,3,2,,2,"48, 85"
2016-06-18 12:00 AM,116,30,31,9,3,16,2,4,,1,,,
2016-06-20 12:00 AM,44,53,42,9,5,7,5,2,3,2,,1,64
