Date,1st instar,2nd instar,3rd instar,4th instar,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2017-05-02 12:00 AM,,,,,,,1,,,2,,,
2017-05-04 12:00 AM,,,,,,,,,1,,,,
2017-05-06 12:00 AM,,,,,,,,,,,,,
2017-05-08 12:00 AM,,,,,,,,,,,,,
2017-05-10 12:00 AM,,,,,,,,,,,,,
2017-05-12 12:00 AM,,,,,,,,,,,,,
2017-05-14 12:00 AM,,,,,,,,,,,,,
2017-05-16 12:00 AM,,,,,,,,,,,,,
2017-05-18 12:00 AM,,,,,,,,,,,,,
2017-05-20 12:00 AM,,,,,,,,,,,,,
2017-05-22 12:00 AM,,,,,,,,,,,,,
2017-05-24 12:00 AM,,,,,,,,,,,,,
2017-05-26 12:00 AM,,,,,,,,,,,,,
2017-05-28 12:00 AM,,,,,,,,,,,,,
