Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-05-25 12:00 AM,,,,,,,,,,,20,,
2016-05-27 12:00 AM,20,,,,,,,,,,20,,
2016-05-29 12:00 AM,18,16,,,,,,,,,20,,
2016-05-31 12:00 AM,20,11,13,,,,,,,,20,,
2016-06-02 12:00 AM,6,18,13,,,,,,,,20,,
2016-06-04 12:00 AM,17,14,20,3,,,,,,,20,,
2016-06-06 12:00 AM,13,13,20,2,4,,,,,,20,,
2016-06-08 12:00 AM,8,9,22,6,3,,,,,,20,,
2016-06-10 12:00 AM,19,3,23,3,8,,,,,,20,,
2016-06-12 12:00 AM,8,14,18,7,5,5,,,,,20,,
2016-06-14 12:00 AM,14,11,11,6,6,7,,,,,20,,
2016-06-16 12:00 AM,23,11,11,7,6,8,,,,,20,,
2016-06-18 12:00 AM,12,22,15,6,7,11,,,,,20,,
2016-06-20 12:00 AM,20,16,15,4,6,11,1,,,,20,,
2016-06-22 12:00 AM,24,15,19,3,5,8,3,1,,,20,,
2016-06-24 12:00 AM,26,11,16,8,3,11,4,1,,,20,,
2016-06-26 12:00 AM,3,23,22,7,6,10,4,1,2,1,20,,
2016-06-28 12:00 AM,7,18,22,7,7,8,4,1,,,20,1,136
2016-06-30 12:00 AM,12,15,30,5,5,12,3,,1,2,20,2,"73, 158"
2016-07-02 12:00 AM,176,13,26,9,6,9,2,,2,,20,,
2016-07-04 12:00 AM,246,11,21,6,9,10,2,,1,1,,,
2016-07-06 12:00 AM,114,70,10,10,8,10,3,,,,,2,"38, 63"
2016-07-08 12:00 AM,91,87,19,9,6,11,4,,2,,,,
2016-07-10 12:00 AM,71,35,54,5,6,12,1,2,,,,,
2016-07-12 12:00 AM,30,39,59,2,6,12,,,1,2,,1,36
2016-07-14 12:00 AM,16,32,60,5,2,13,,2,,,,,
2016-07-16 12:00 AM,13,15,45,13,5,7,2,3,,,,2,"128, 84"
2016-07-18 12:00 AM,8,17,21,30,7,7,2,4,,,,1,47
2016-07-20 12:00 AM,9,8,19,26,12,6,3,4,,,,3,"30, 74, 41"
2016-07-22 12:00 AM,12,8,13,19,12,5,1,5,3,2,,1,83
2016-07-24 12:00 AM,,9,15,5,9,20,1,4,,1,,2,"44, 49"
2016-07-26 12:00 AM,8,5,8,11,3,22,,2,1,2,,,
2016-07-28 12:00 AM,,3,7,5,6,19,3,1,,1,,,
2016-07-30 12:00 AM,19,15,4,7,6,12,7,1,,,,,
2016-08-01 12:00 AM,9,21,6,3,4,9,7,5,1,,,,
2016-08-03 12:00 AM,12,10,14,4,1,10,4,5,3,2,,1,133
2016-08-05 12:00 AM,,5,20,2,2,9,2,5,3,1,,1,227
2016-08-07 12:00 AM,,6,12,2,3,8,1,3,1,2,,,
2016-08-09 12:00 AM,,6,8,4,3,5,3,2,,2,,,
2016-08-11 12:00 AM,,2,6,4,1,6,2,2,1,,,,
2016-08-13 12:00 AM,28,,4,8,2,3,1,2,,,,,
2016-08-15 12:00 AM,45,,2,7,2,3,1,2,1,,,,
2016-08-17 12:00 AM,39,,2,3,5,3,1,,,2,,,
2016-08-19 12:00 AM,27,6,,3,4,5,1,,,,,,
2016-08-21 12:00 AM,7,11,1,1,4,4,,,1,,,,
2016-08-23 12:00 AM,,13,1,4,,5,,,,,,,
2016-08-25 12:00 AM,,13,1,1,,5,,,,,,,
2016-08-27 12:00 AM,,,10,1,,4,,,,,,,
2016-08-29 12:00 AM,,,10,1,,3,,,,,,,
2016-08-31 12:00 AM,,,8,1,,2,,1,,,,,
2016-09-02 12:00 AM,,,7,1,,2,,1,,,,,
2016-09-04 12:00 AM,,,6,1,,2,,1,,,,,
2016-09-06 12:00 AM,,,6,,,3,,1,,,,,
2016-09-08 12:00 AM,,,3,3,,2,,1,,,,,
2016-09-10 12:00 AM,,,1,2,3,1,1,2,,,,,
2016-09-12 12:00 AM,,,1,2,3,1,1,1,,1,,,
2016-09-14 12:00 AM,,,1,2,3,1,1,1,,,,3,"44, 56, 75"
2016-09-16 12:00 AM,,,,1,3,3,1,1,,,,,
2016-09-18 12:00 AM,,,,,2,4,1,1,,,,,
2016-09-20 12:00 AM,,,,,,6,,1,1,,,,
2016-09-22 12:00 AM,,,,,,6,,,,1,,,
2016-09-24 12:00 AM,,,,,,6,,,,,,,
2016-09-26 12:00 AM,17,,,,,6,,,,,,,
2016-09-28 12:00 AM,43,,,,,5,,,,,,,
2016-09-30 12:00 AM,60,,,,,5,,,,,,,
2016-10-02 12:00 AM,45,5,,,,4,1,1,,,,,
2016-10-04 12:00 AM,27,11,3,,,,1,1,,,,,
2016-10-06 12:00 AM,11,10,8,,,,1,1,,,,1,39
2016-10-08 12:00 AM,8,11,7,,,,,1,,,,,
2016-10-10 12:00 AM,,11,11,,,,1,,,1,,1,44
2016-10-12 12:00 AM,,6,10,3,,,1,,,,,,
2016-10-14 12:00 AM,,4,12,2,,,1,,,,,,
2016-10-16 12:00 AM,,1,9,6,,,1,,,,,,
2016-10-18 12:00 AM,,,10,3,,,,,1,,,,
2016-10-20 12:00 AM,,,8,2,3,,,,,,,,
2016-10-22 12:00 AM,,,5,5,3,,,,,,,,
2016-10-24 12:00 AM,,,5,4,4,,,,,,,,
2016-10-26 12:00 AM,,,5,2,4,,,,,,,,
2016-10-28 12:00 AM,,,4,1,4,1,,,,,,,
2016-10-30 12:00 AM,,,,4,3,2,,,,,,,
2016-11-01 12:00 AM,,,,1,5,3,,,,,,,
2016-11-03 12:00 AM,,,,,5,3,,,,,,,
2016-11-05 12:00 AM,,,,,4,4,,,,,,,
2016-11-07 12:00 AM,,,,,4,4,,,,,,,
2016-11-09 12:00 AM,,,,,1,6,,,,,,,
2016-11-11 12:00 AM,,,,,,5,1,,,,,,
2016-11-13 12:00 AM,,,,,,4,2,,,,,,
2016-11-15 12:00 AM,,,,,,4,2,,,,,,
2016-11-17 12:00 AM,,,,,,4,2,,,,,,
2016-11-19 12:00 AM,,,,,,4,,,,2,,,
2016-11-21 12:00 AM,,,,,,2,,,,,,,
2016-11-23 12:00 AM,,,,,,2,,,,,,,
2016-11-25 12:00 AM,,,,,,2,,,,,,,
2016-11-27 12:00 AM,,,,,,1,1,,,,,,
2016-11-29 12:00 AM,,,,,,1,1,,,,,,
2016-12-01 12:00 AM,,,,,,,,,1,,,,
2016-12-03 12:00 AM,,,,,,,,,,,,,
2016-12-05 12:00 AM,,,,,,,,,,,,,
2016-12-07 12:00 AM,,,,,,,,,,,,,
2016-12-09 12:00 AM,,,,,,,,,,,,,
2016-12-11 12:00 AM,,,,,,,,,,,,,
2016-12-13 12:00 AM,,,,,,,,,,,,,
