Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,20,11,,,,,,,,,20,,
2016-03-24 12:00 AM,23,4,11,,,,,,,,20,,
2016-03-26 12:00 AM,40,19,4,9,,,,,,,20,,
2016-03-28 12:00 AM,48,15,11,7,3,,,,,,20,,
2016-03-30 12:00 AM,44,30,13,7,10,,,,,,20,,
2016-04-01 12:00 AM,61,13,15,11,4,5,,,,,20,,
2016-04-03 12:00 AM,73,20,23,7,4,10,,,,,20,,
2016-04-05 12:00 AM,62,23,19,7,5,14,,,,,20,,
2016-04-07 12:00 AM,60,14,23,7,4,14,1,4,,,20,,
2016-04-09 12:00 AM,77,22,16,6,7,14,5,4,,,20,1,130
2016-04-11 12:00 AM,70,38,20,6,5,12,6,7,2,1,20,4,"57, 72, 95, 117"
2016-04-13 12:00 AM,56,36,15,9,3,15,4,5,3,3,20,,
2016-04-15 12:00 AM,60,14,28,6,7,15,2,4,3,3,20,3,"34, 21, 45"
2016-04-17 12:00 AM,72,18,22,7,9,15,2,5,2,1,20,2,"36, 41"
2016-04-19 12:00 AM,83,13,21,4,10,15,3,5,,1,20,4,"162, 86, 110, 97"
2016-04-21 12:00 AM,73,18,22,9,5,13,3,8,1,1,20,6,"61, 50, 37, 42, 85, 63"
2016-04-23 12:00 AM,86,14,28,8,10,16,3,8,,,20,,
2016-04-25 12:00 AM,90,5,28,4,11,15,2,5,4,3,20,,
2016-04-27 12:00 AM,93,21,19,10,10,11,2,4,2,3,20,2,"91, 135"
2016-04-29 12:00 AM,95,20,25,8,8,12,1,4,1,2,20,,
2016-05-01 12:00 AM,79,35,24,4,8,16,4,5,,,,2,"64, 35"
2016-05-03 12:00 AM,77,20,36,2,3,16,4,3,2,3,,6,"40, 57, 92, 143, 125, 66"
2016-05-05 12:00 AM,70,28,38,8,3,14,3,3,1,2,,5,"125, 132, 97, 144, 170"
2016-05-07 12:00 AM,58,27,43,12,4,5,3,5,2,2,,4,"213, 187, 76, 45"
2016-05-09 12:00 AM,192,9,43,10,6,7,4,4,1,1,,4,"110, 56, 64, 40"
2016-05-11 12:00 AM,187,17,37,7,5,10,3,3,2,1,,6,"187, 83, 61, 114, 45, 56"
2016-05-13 12:00 AM,76,46,23,16,7,14,1,4,2,,,1,75
2016-05-15 12:00 AM,31,38,45,8,14,14,1,4,1,3,,,
2016-05-17 12:00 AM,24,24,57,7,8,21,3,4,,1,,2,"158, 211"
2016-05-19 12:00 AM,15,9,46,6,1,21,1,1,3,4,,3,"64, 78, 71"
2016-05-21 12:00 AM,5,6,42,11,3,16,6,1,,1,,3,"215, 133, 179"
2016-05-23 12:00 AM,27,7,26,17,5,6,11,4,,,,5,"156, 114, 82, 123, 145"
2016-05-25 12:00 AM,27,2,19,11,14,7,8,4,3,1,,4,"115, 64, 131, 235"
2016-05-27 12:00 AM,64,15,13,11,9,17,2,2,4,5,,2,"76, 58"
2016-05-29 12:00 AM,67,14,11,10,5,25,,,2,2,,,
2016-05-31 12:00 AM,100,22,19,7,4,27,1,3,,,,,
2016-06-02 12:00 AM,41,28,27,5,5,18,7,1,1,2,,3,"117, 96, 98"
2016-06-04 12:00 AM,2,21,40,7,2,15,9,2,2,1,,6,"64, 58, 141, 105, 75, 136"
2016-06-06 12:00 AM,,6,42,5,6,7,4,2,9,3,,,
2016-06-08 12:00 AM,84,,31,11,5,8,1,1,4,1,,1,188
2016-06-10 12:00 AM,82,31,22,11,6,10,2,,1,1,,1,72
2016-06-12 12:00 AM,29,38,26,12,10,14,1,1,2,,,,
2016-06-14 12:00 AM,37,18,43,7,6,12,3,1,,,,,
2016-06-16 12:00 AM,38,10,39,2,5,8,2,2,3,1,,,
2016-06-18 12:00 AM,11,17,36,4,6,7,1,2,1,1,,1,88
