Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-11-15 12:00 AM,,,3,7,12,5,,,,,,,
2016-11-17 12:00 AM,,,2,4,4,16,,,,,,,
2016-11-19 12:00 AM,,,,4,,20,,,,,,,
2016-11-21 12:00 AM,,,,1,2,19,,1,,,,,
2016-11-23 12:00 AM,,,,,1,14,3,8,,,,,
2016-11-25 12:00 AM,,,,,,6,4,7,1,4,,4,"48, 50, 85, 96"
2016-11-27 12:00 AM,,,,,,2,2,7,2,2,,6,"145, 109, 128, 221, 159, 236"
2016-11-29 12:00 AM,,,,,,2,2,2,,4,,1,61
2016-12-01 12:00 AM,5,,,,,,1,2,1,2,,,
2016-12-03 12:00 AM,127,,,,,,1,,,2,,,
2016-12-05 12:00 AM,158,15,,,,,,,1,,,,
2016-12-07 12:00 AM,42,79,,,,,,,,,,,
2016-12-09 12:00 AM,6,44,30,,,,,,,,,,
2016-12-11 12:00 AM,,19,47,1,,,,,,,,,
2016-12-13 12:00 AM,,13,40,6,,,,,,,,,
2016-12-15 12:00 AM,,,40,7,4,,,,,,,,
2016-12-17 12:00 AM,,,23,19,5,,,,,,,,
2016-12-19 12:00 AM,,,7,25,7,10,,,,,,,
2016-12-21 12:00 AM,,,3,20,12,6,,4,,,,,
2016-12-23 12:00 AM,,,,10,15,14,,3,,1,,,
2016-12-25 12:00 AM,,,,9,11,15,,2,,1,,,
2016-12-27 12:00 AM,,,,,6,23,2,3,,,,,
2016-12-29 12:00 AM,,,,,1,20,5,4,,,,4,"95,137,68,71"
2016-12-31 12:00 AM,,,,,,14,6,,2,5,,2,"48,87"
2017-01-02 12:00 AM,,,,,,9,4,8,2,,,2,"40,75"
2017-01-04 12:00 AM,58,,,,,1,5,4,1,9,,4,"43,56,28,49"
2017-01-06 12:00 AM,63,1,,,,,3,4,3,,,5,"95,128,77,86,51"
2017-01-08 12:00 AM,25,24,13,,,,1,1,2,3,,3,"130,95,74"
2017-01-10 12:00 AM,7,15,28,,,,1,,,1,,,
2017-01-12 12:00 AM,26,7,34,,,,,,1,,,,
2017-01-14 12:00 AM,52,8,31,4,,,,,,,,,
2017-01-16 12:00 AM,22,6,23,8,4,,,,,,,,
2017-01-18 12:00 AM,,16,19,12,8,1,,,,,,,
2017-01-20 12:00 AM,,7,16,12,7,8,,,,,,,
2017-01-22 12:00 AM,,2,11,12,6,13,,,,,,,
2017-01-24 12:00 AM,,,5,3,12,15,,,,,,,
2017-01-26 12:00 AM,,,4,4,8,15,1,1,,,,,
2017-01-28 12:00 AM,,,1,2,6,13,1,3,,,,,
2017-01-30 12:00 AM,,,1,1,4,11,3,5,,,,,
2017-02-01 12:00 AM,,,,1,,9,4,1,1,4,,5,"258,124,137,39,96"
2017-02-03 12:00 AM,,,,1,,6,7,,1,1,,2,"58,61"
2017-02-05 12:00 AM,,,,,1,4,6,1,2,,,1,48
2017-02-07 12:00 AM,164,,,,1,3,5,2,1,,,3,"42,136,251"
2017-02-09 12:00 AM,197,2,,,,2,5,2,1,1,,1,28
2017-02-11 12:00 AM,47,104,,,,1,2,2,2,2,,,
2017-02-13 12:00 AM,11,46,57,,,1,1,1,1,1,,,
2017-02-15 12:00 AM,46,14,70,,,,2,,,1,,,
2017-02-17 12:00 AM,,23,63,2,,,1,,1,,,,
