Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-06-08 12:00 AM,,,,,,,,,,,20,,
2016-06-10 12:00 AM,18,,,,,,,,,,20,,
2016-06-12 12:00 AM,15,12,,,,,,,,,20,,
2016-06-14 12:00 AM,10,18,7,,,,,,,,20,,
2016-06-16 12:00 AM,3,11,14,,,,,,,,20,,
2016-06-18 12:00 AM,12,2,19,2,1,,,,,,20,,
2016-06-20 12:00 AM,9,5,19,1,2,3,,,,,20,,
2016-06-22 12:00 AM,14,10,13,3,3,3,,,,,20,,
2016-06-24 12:00 AM,10,13,12,6,2,3,,,,,20,,
2016-06-26 12:00 AM,2,14,12,2,2,3,1,,,,20,,
2016-06-28 12:00 AM,4,4,18,1,2,3,1,,,,20,,
2016-06-30 12:00 AM,11,9,16,4,2,3,,,1,,20,,
2016-07-02 12:00 AM,12,15,19,4,,2,,,,,20,,
2016-07-04 12:00 AM,14,12,15,2,1,2,,,,,20,,
2016-07-06 12:00 AM,7,9,13,6,,,,,,,20,,
2016-07-08 12:00 AM,8,7,9,4,1,,,,,,20,,
2016-07-10 12:00 AM,11,1,5,1,2,,,,,,20,,
2016-07-12 12:00 AM,12,4,3,,3,,,,,,20,,
2016-07-14 12:00 AM,13,3,1,,1,1,,,,,20,,
2016-07-16 12:00 AM,16,11,4,1,,2,,,,,20,,
2016-07-18 12:00 AM,11,7,14,1,,2,,,,,20,,
2016-07-20 12:00 AM,13,8,13,1,,1,,,,,,,
2016-07-22 12:00 AM,12,11,17,,1,1,,,,,,,
2016-07-24 12:00 AM,11,9,14,3,1,1,,,,,,,
2016-07-26 12:00 AM,1,9,14,3,3,1,,,,,,,
2016-07-28 12:00 AM,,6,13,5,,1,,,,,,,
2016-07-30 12:00 AM,,,8,8,1,1,,,,,,,
2016-08-01 12:00 AM,,,5,5,1,1,,,,,,,
2016-08-03 12:00 AM,,,3,3,2,,,,,,,,
2016-08-05 12:00 AM,,,1,1,2,,,,,,,,
2016-08-07 12:00 AM,,,,,1,1,,,,,,,
2016-08-09 12:00 AM,,,,,,1,,,,,,,
2016-08-11 12:00 AM,,,,,,1,,,,,,,
2016-08-13 12:00 AM,,,,,,1,,,,,,,
2016-08-15 12:00 AM,,,,,,1,,,,,,,
2016-08-17 12:00 AM,,,,,,,,,,,,,
