Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-05-19 12:00 AM,20,,,,,,,,,,20,,
2016-05-21 12:00 AM,20,,,,,,,,,,20,,
2016-05-23 12:00 AM,18,11,,,,,,,,,20,,
2016-05-25 12:00 AM,20,18,,,,,,,,,20,,
2016-05-27 12:00 AM,16,11,15,,,,,,,,20,,
2016-05-29 12:00 AM,6,32,16,,,,,,,,20,,
2016-05-31 12:00 AM,11,20,24,2,,,,,,,20,,
2016-06-02 12:00 AM,10,9,39,2,1,,,,,,20,,
2016-06-04 12:00 AM,15,10,30,8,3,,,,,,20,,
2016-06-06 12:00 AM,11,12,29,9,6,,,,,,20,,
2016-06-08 12:00 AM,16,6,18,13,10,1,,,,,20,,
2016-06-10 12:00 AM,26,2,14,16,12,1,,,,,20,,
2016-06-12 12:00 AM,13,15,9,7,14,7,,,,,20,,
2016-06-14 12:00 AM,15,16,9,9,12,6,,,,,20,,
2016-06-16 12:00 AM,21,10,14,3,8,12,,,,,20,,
2016-06-18 12:00 AM,21,7,16,4,5,16,,1,,,20,,
2016-06-20 12:00 AM,20,4,16,3,5,18,,1,,,20,,
2016-06-22 12:00 AM,23,6,17,1,4,13,1,4,,,20,,
2016-06-24 12:00 AM,18,11,11,5,4,14,1,3,,,20,2,"46, 35"
2016-06-26 12:00 AM,9,13,19,4,6,8,4,5,2,1,20,,
2016-06-28 12:00 AM,8,14,17,4,5,9,4,4,1,1,20,1,55
2016-06-30 12:00 AM,16,11,18,3,6,7,4,3,1,2,20,4,"37, 92, 128, 84"
2016-07-02 12:00 AM,21,5,21,5,5,7,3,2,1,1,20,3,"46, 73, 32"
2016-07-04 12:00 AM,28,10,19,5,6,6,3,2,,1,,2,"25, 39"
2016-07-06 12:00 AM,40,10,18,4,5,6,3,1,,1,,1,77
2016-07-08 12:00 AM,75,22,15,6,2,8,3,1,,,,1,64
2016-07-10 12:00 AM,116,16,14,7,6,8,2,,1,1,,2,"55, 108"
2016-07-12 12:00 AM,85,16,13,8,5,7,3,1,,,,,
2016-07-14 12:00 AM,53,30,22,8,6,5,4,,1,1,,,
2016-07-16 12:00 AM,31,33,25,7,7,5,4,1,,,,1,45
2016-07-18 12:00 AM,40,22,33,5,5,8,4,1,,,,3,"51, 48, 40"
2016-07-20 12:00 AM,28,21,19,7,4,10,3,1,2,,,1,56
2016-07-22 12:00 AM,19,14,21,12,4,10,2,2,1,,,3,"107, 76, 128"
2016-07-24 12:00 AM,43,19,40,5,2,5,,,2,2,,2,"40, 78"
2016-07-26 12:00 AM,15,16,16,12,7,7,2,1,1,,,,
2016-07-28 12:00 AM,22,16,16,8,10,8,2,1,1,1,,1,45
2016-07-30 12:00 AM,7,10,16,7,10,11,3,1,,,,,
2016-08-01 12:00 AM,2,10,10,7,8,10,5,2,,,,1,225
2016-08-03 12:00 AM,,7,10,5,5,13,3,2,2,1,,6,"41, 80, 137, 46, 53, 48"
2016-08-05 12:00 AM,,3,10,4,2,14,2,1,1,2,,2,"38, 53"
2016-08-07 12:00 AM,26,,3,6,2,10,1,4,2,2,,1,74
2016-08-09 12:00 AM,211,5,3,4,1,7,2,3,1,2,,2,"171, 133"
2016-08-11 12:00 AM,156,44,,4,,5,5,3,,,,3,"115, 74, 80"
2016-08-13 12:00 AM,54,83,5,1,,4,4,4,1,,,5,"33, 177, 64, 95, 86"
2016-08-15 12:00 AM,29,46,41,,,5,2,,2,4,,2,"75, 20"
2016-08-17 12:00 AM,110,23,64,,,4,,1,2,,,,
2016-08-19 12:00 AM,98,25,50,6,,3,1,,,1,,,
2016-08-21 12:00 AM,98,47,46,12,3,1,1,2,,,,,
2016-08-23 12:00 AM,25,40,38,25,7,1,,3,1,,,,
2016-08-25 12:00 AM,6,36,31,19,13,6,,1,,2,,,
2016-08-27 12:00 AM,,11,35,24,7,12,,1,,,,,
2016-08-29 12:00 AM,,9,28,13,6,20,,,,1,,,
2016-08-31 12:00 AM,,2,21,11,10,23,,1,,,,,
2016-09-02 12:00 AM,,,14,13,10,26,1,2,,,,,
2016-09-04 12:00 AM,,,4,15,13,23,4,3,,,,,
2016-09-06 12:00 AM,,,2,12,9,22,8,4,1,1,,,
2016-09-08 12:00 AM,,,1,2,11,19,9,6,1,1,,,
2016-09-10 12:00 AM,,,,2,5,17,5,9,7,2,,8,"56, 48, 87, 63, 69, 78, 55, 156"
2016-09-12 12:00 AM,50,,,,3,12,2,4,4,6,,1,77
2016-09-14 12:00 AM,281,,,,2,5,4,3,2,5,,,
2016-09-16 12:00 AM,268,24,,,,3,5,3,2,,,2,"74, 146"
2016-09-18 12:00 AM,246,55,,,,3,2,3,2,1,,5,"41, 56, 64, 78, 37"
2016-09-20 12:00 AM,95,95,18,,,3,1,1,1,2,,3,"57, 69, 43"
2016-09-22 12:00 AM,12,103,36,7,,3,1,1,,,,,
2016-09-24 12:00 AM,15,100,23,,,3,,1,1,,,,
2016-09-26 12:00 AM,36,35,62,12,,3,,,,1,,,
2016-09-28 12:00 AM,35,15,56,17,6,3,,,,,,,
2016-09-30 12:00 AM,15,8,45,27,8,,,,,,,,
2016-10-02 12:00 AM,8,11,33,25,12,3,,,,,,,
2016-10-04 12:00 AM,1,3,18,29,10,4,,,,,,,
2016-10-06 12:00 AM,,1,9,24,15,11,,,,,,,
2016-10-08 12:00 AM,,,14,17,18,13,,,,,,,
2016-10-10 12:00 AM,,,6,6,18,27,,2,,,,,
2016-10-12 12:00 AM,,,3,6,10,27,1,2,,,,,
2016-10-14 12:00 AM,,,,6,9,21,3,5,,,,3,"55, 67, 48"
2016-10-16 12:00 AM,,,,4,6,20,6,5,,2,,5,"64, 79, 132, 85, 146"
2016-10-18 12:00 AM,,,,2,5,14,8,5,3,3,,2,"47, 61"
2016-10-20 12:00 AM,8,,,2,3,10,7,3,3,3,,,
2016-10-22 12:00 AM,55,,,,2,10,5,1,5,1,,3,"72, 104, 83"
2016-10-24 12:00 AM,70,7,,,2,5,3,2,1,2,,,
2016-10-26 12:00 AM,45,29,6,,,,3,1,1,1,,2,"44, 105"
2016-10-28 12:00 AM,57,41,8,,,,3,1,,,,,
2016-10-30 12:00 AM,121,12,31,1,,,2,,1,1,,2,"45, 61"
2016-11-01 12:00 AM,72,19,33,2,,,,,2,,,,
2016-11-03 12:00 AM,33,27,34,6,1,,,,,,,,
2016-11-05 12:00 AM,5,28,27,9,4,,,,,,,,
2016-11-07 12:00 AM,,9,18,13,10,,,,,,,,
2016-11-09 12:00 AM,,,20,9,10,5,,,,,,,
2016-11-11 12:00 AM,,,13,8,13,7,,,,,,,
2016-11-13 12:00 AM,,,5,7,11,12,,,,,,,
2016-11-15 12:00 AM,,,2,9,7,17,,,,,,,
2016-11-17 12:00 AM,,,1,5,7,17,2,1,,,,,
2016-11-19 12:00 AM,,,,4,6,16,3,3,,,,,
2016-11-21 12:00 AM,,,,1,4,14,5,4,,,,5,"41, 30, 77, 46, 135"
