Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,20,17,,,,,,,,,20,,
2016-03-24 12:00 AM,20,13,13,,,,,,,,20,,
2016-03-26 12:00 AM,45,20,10,7,,,,,,,20,,
2016-03-28 12:00 AM,59,15,13,5,1,,,,,,20,,
2016-03-30 12:00 AM,63,21,10,9,7,,,,,,20,,
2016-04-01 12:00 AM,61,13,10,6,9,6,,,,,20,,
2016-04-03 12:00 AM,65,15,7,8,8,12,,,,,20,,
2016-04-05 12:00 AM,60,34,3,5,6,18,,,,,20,,
2016-04-07 12:00 AM,78,7,23,5,6,18,2,2,,,20,,
2016-04-09 12:00 AM,70,23,21,3,6,16,3,7,,,20,2,"140, 210"
2016-04-11 12:00 AM,69,36,19,7,8,10,7,11,,1,20,3,"65, 93, 118"
2016-04-13 12:00 AM,71,16,22,12,6,8,8,11,1,1,20,3,"111, 54, 66"
2016-04-15 12:00 AM,67,16,28,5,,12,5,3,5,8,20,,
2016-04-17 12:00 AM,66,13,21,8,7,12,4,1,3,2,20,1,65
2016-04-19 12:00 AM,76,14,18,7,14,10,3,1,1,1,20,1,58
2016-04-21 12:00 AM,70,5,28,11,8,7,1,6,2,1,20,,
2016-04-23 12:00 AM,90,22,21,5,9,13,,4,1,2,20,,
2016-04-25 12:00 AM,79,19,19,5,11,16,1,,,4,20,,
2016-04-27 12:00 AM,82,9,40,3,9,10,3,4,,,20,,
2016-04-29 12:00 AM,92,17,30,3,6,14,,3,4,4,20,,
2016-05-01 12:00 AM,95,33,27,7,6,14,1,1,,3,,,
2016-05-03 12:00 AM,77,28,34,6,6,15,2,3,1,,,,
2016-05-05 12:00 AM,62,17,42,8,8,11,6,4,,3,,2,"41, 36"
2016-05-07 12:00 AM,57,10,38,11,6,10,3,1,,3,,2,"61, 46"
2016-05-09 12:00 AM,42,4,31,8,10,15,2,1,3,1,,,
2016-05-11 12:00 AM,46,6,21,12,5,18,1,2,1,1,,,
2016-05-13 12:00 AM,49,7,12,7,11,18,2,1,1,2,,,
2016-05-15 12:00 AM,42,6,15,5,14,11,6,3,,,,,
2016-05-17 12:00 AM,37,8,19,4,4,16,2,2,6,4,,2,"189, 51"
2016-05-19 12:00 AM,28,5,18,4,5,13,,5,2,1,,1,28
2016-05-21 12:00 AM,9,4,16,6,3,16,1,4,,,,,
2016-05-23 12:00 AM,5,8,7,6,9,7,8,2,1,4,,1,96
2016-05-25 12:00 AM,27,2,19,11,14,7,8,4,3,1,,4,"115, 64, 131, 235"
2016-05-27 12:00 AM,1,2,7,2,3,9,3,1,3,1,,,
2016-05-29 12:00 AM,4,1,7,2,3,9,3,,2,,,,
2016-05-31 12:00 AM,70,3,5,3,1,10,3,,1,1,,,
2016-06-02 12:00 AM,34,7,4,1,4,6,3,3,3,,,,
2016-06-04 12:00 AM,,22,14,1,2,,1,1,2,2,,2,"24, 58"
2016-06-06 12:00 AM,,3,29,1,2,5,,1,1,2,,,
2016-06-08 12:00 AM,,1,22,3,2,6,,1,,,,,
2016-06-10 12:00 AM,,,15,6,3,4,1,2,,,,,
2016-06-12 12:00 AM,,,5,8,6,4,2,2,,1,,,
2016-06-14 12:00 AM,,,,10,5,5,1,1,1,2,,,
2016-06-16 12:00 AM,,,,3,6,9,,,1,1,,,
2016-06-18 12:00 AM,,,,1,6,11,,,,,,,
2016-06-20 12:00 AM,,,,,,10,1,2,,,,,
2016-06-22 12:00 AM,,,,,,6,,1,1,2,,,
2016-06-24 12:00 AM,,,,,,5,1,,,1,,,
2016-06-26 12:00 AM,,,,,,,2,,4,,,,
2016-06-28 12:00 AM,,,,,,,1,,1,,,,
2016-06-30 12:00 AM,,,,,,,,,1,,,,
2016-07-02 12:00 AM,,,,,,,,,,,,,
