Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-05-25 12:00 AM,,,,,,,,,,,20,,
2016-05-27 12:00 AM,20,,,,,,,,,,20,,
2016-05-29 12:00 AM,11,18,,,,,,,,,20,,
2016-05-31 12:00 AM,23,8,18,,,,,,,,20,,
2016-06-02 12:00 AM,18,15,14,,,,,,,,20,,
2016-06-04 12:00 AM,16,15,19,,,,,,,,20,,
2016-06-06 12:00 AM,12,6,23,5,,,,,,,20,,
2016-06-08 12:00 AM,21,7,17,6,3,,,,,,20,,
2016-06-10 12:00 AM,38,5,20,8,7,,,,,,20,,
2016-06-12 12:00 AM,6,22,18,10,7,1,,,,,20,,
2016-06-14 12:00 AM,12,18,22,8,6,2,,,,,20,,
2016-06-16 12:00 AM,17,4,24,10,4,5,,,,,20,,
2016-06-18 12:00 AM,16,12,21,5,9,7,,,,,20,,
2016-06-20 12:00 AM,14,10,19,3,9,9,,,,,20,,
2016-06-22 12:00 AM,22,7,13,5,9,11,,,,,20,,
2016-06-24 12:00 AM,21,4,14,8,5,9,,1,1,,20,,
2016-06-26 12:00 AM,20,17,18,3,9,11,,,,,20,,
2016-06-28 12:00 AM,10,10,19,3,9,9,1,,,1,20,,
2016-06-30 12:00 AM,20,14,21,7,3,9,3,,,,20,,
2016-07-02 12:00 AM,19,16,22,4,7,7,3,,,2,20,,
2016-07-04 12:00 AM,12,20,21,5,3,9,1,1,2,,,,
2016-07-06 12:00 AM,34,13,21,10,2,11,1,,,1,,,
2016-07-08 12:00 AM,11,12,28,9,5,10,2,4,,,,,
2016-07-10 12:00 AM,30,11,25,9,10,9,3,2,1,2,,,
2016-07-12 12:00 AM,13,9,19,7,8,10,2,3,2,,,3,"55, 87, 94"
2016-07-14 12:00 AM,22,1,18,9,5,12,,5,2,1,,,
2016-07-16 12:00 AM,17,15,10,9,8,14,,5,,,,,
2016-07-18 12:00 AM,8,17,21,30,7,7,2,4,,,,1,47
2016-07-20 12:00 AM,16,12,10,4,6,12,1,3,,3,,,
2016-07-22 12:00 AM,7,12,15,4,2,12,2,5,,,,2,"96, 90"
2016-07-24 12:00 AM,2,9,14,1,3,10,1,4,1,4,,2,"63, 41"
2016-07-26 12:00 AM,,3,12,9,2,4,2,4,1,2,,2,"87, 63"
2016-07-28 12:00 AM,,3,10,5,7,4,1,,1,4,,1,56
2016-07-30 12:00 AM,95,2,7,5,11,2,,1,1,,,,
2016-08-01 12:00 AM,83,5,4,9,2,2,,,,2,,,
2016-08-03 12:00 AM,23,35,3,4,5,10,,,,,,,
2016-08-05 12:00 AM,35,38,7,4,2,13,,,,,,,
2016-08-07 12:00 AM,14,15,20,1,4,15,,,,,,,
2016-08-09 12:00 AM,11,14,20,2,2,16,,,,,,,
2016-08-11 12:00 AM,2,10,20,1,3,10,3,,,,,,
2016-08-13 12:00 AM,,10,18,1,2,7,6,,,,,,
2016-08-15 12:00 AM,,6,14,6,,6,7,1,,,,,
2016-08-17 12:00 AM,,4,11,8,1,6,6,1,1,,,,
2016-08-19 12:00 AM,,,8,9,3,5,7,1,,,,,
2016-08-21 12:00 AM,,,7,7,5,5,6,1,1,,,,
2016-08-23 12:00 AM,,,6,5,6,,4,1,1,1,,,
2016-08-25 12:00 AM,,,2,6,7,2,3,,1,1,,,
2016-08-27 12:00 AM,,,1,5,5,4,3,,1,,,,
2016-08-29 12:00 AM,,,2,3,3,7,2,,1,,,,
2016-08-31 12:00 AM,,,1,1,2,8,4,,,,,,
2016-09-02 12:00 AM,,,1,,2,9,4,,,,,,
2016-09-04 12:00 AM,,,,1,1,10,4,,,,,,
2016-09-06 12:00 AM,,,,1,,10,1,,3,,,,
2016-09-08 12:00 AM,,,,1,,10,,,1,,,,
2016-09-10 12:00 AM,,,,1,,10,,,,,,,
2016-09-12 12:00 AM,,,,1,,6,2,2,,,,,
2016-09-14 12:00 AM,,,,,1,2,3,3,,,,1,130
2016-09-16 12:00 AM,,,,,1,2,3,3,,,,,
2016-09-18 12:00 AM,,,,,1,2,3,3,,,,2,"43, 67"
2016-09-20 12:00 AM,,,,,,1,1,1,2,2,,2,"28, 44"
2016-09-22 12:00 AM,,,,,,1,1,1,,,,,
2016-09-24 12:00 AM,,,,,,1,,1,1,,,,
2016-09-26 12:00 AM,,,,,,,,,,1,,,
2016-09-28 12:00 AM,,,,,,,,,,,,,
2016-09-30 12:00 AM,63,,,,,,,,,,,,
2016-10-02 12:00 AM,51,,,,,,,,,,,,
2016-10-04 12:00 AM,55,,,,,,,,,,,,
2016-10-06 12:00 AM,36,11,,,,,,,,,,,
2016-10-08 12:00 AM,19,18,,,,,,,,,,,
2016-10-10 12:00 AM,12,21,3,,,,,,,,,,
2016-10-12 12:00 AM,5,10,14,,,,,,,,,,
2016-10-14 12:00 AM,2,4,16,,,,,,,,,,
2016-10-16 12:00 AM,,6,18,,,,,,,,,,
2016-10-18 12:00 AM,,4,18,,,,,,,,,,
2016-10-20 12:00 AM,,,16,3,,,,,,,,,
2016-10-22 12:00 AM,,,11,4,1,,,,,,,,
2016-10-24 12:00 AM,,,4,8,3,,,,,,,,
2016-10-26 12:00 AM,,,1,5,7,,,,,,,,
2016-10-28 12:00 AM,,,,6,6,,,,,,,,
2016-10-30 12:00 AM,,,,4,3,2,,,,,,,
2016-11-01 12:00 AM,,,,1,5,3,,,,,,,
2016-11-03 12:00 AM,,,,,5,5,,,,,,,
2016-11-05 12:00 AM,,,,,3,7,,,,,,,
2016-11-07 12:00 AM,,,,,1,9,,,,,,,
2016-11-09 12:00 AM,,,,,,10,,,,,,,
2016-11-11 12:00 AM,,,,,,10,,,,,,,
2016-11-13 12:00 AM,,,,,,7,,1,,,,,
2016-11-15 12:00 AM,,,,,,7,,1,,,,,
2016-11-17 12:00 AM,,,,,,4,2,1,,,,,
2016-11-19 12:00 AM,,,,,,3,2,2,,,,,
2016-11-21 12:00 AM,,,,,,,1,3,1,,,,
2016-11-23 12:00 AM,,,,,,,1,2,,1,,,
2016-11-25 12:00 AM,,,,,,,,2,1,,,,
2016-11-27 12:00 AM,,,,,,,,2,,,,,
2016-11-29 12:00 AM,,,,,,,,2,,,,,
2016-12-01 12:00 AM,,,,,,,,2,,,,,
2016-12-03 12:00 AM,,,,,,,,2,,,,,
2016-12-05 12:00 AM,,,,,,,,1,,1,,,
2016-12-07 12:00 AM,,,,,,,,1,,,,,
2016-12-09 12:00 AM,,,,,,,,,,1,,,
